ID,Dept,Gender,Clin,Cert,Prate,Exper,Rank,Sal94,Sal95
1,1,1,0,0,7.4,9,3,77836,84612
2,1,1,0,0,6.7,10,2,69994,78497
3,1,1,0,0,8.1,6,1,62872,67756
4,1,1,1,1,5.1,27,3,155196,173220
5,1,1,0,0,7,10,3,89268,96099
6,1,1,0,1,7.7,10,3,79714,87531
7,1,1,0,1,8.3,9,2,89781,99972
8,1,1,1,1,5.3,11,3,151423,166601
9,1,1,0,0,7.7,18,3,81271,85437
10,1,1,0,0,7.5,9,2,83018,91369
11,1,1,0,0,6.8,12,2,80214,88676
12,1,1,0,1,7.3,8,2,110302,116654
13,1,1,1,1,5.4,18,3,137106,149222
14,1,1,0,0,7.5,15,2,77545,85041
15,1,1,0,0,6.8,10,2,90223,97640
16,1,1,0,0,8.1,9,3,81197,91800
17,1,1,0,0,7.3,16,3,90178,101828
18,1,1,0,1,7.7,9,3,105564,117743
19,1,1,0,0,8.1,37,2,115804,126989
20,1,1,0,1,7.2,14,3,113149,124432
21,1,1,0,1,8.6,27,3,157510,168673
22,1,1,0,0,7.1,14,3,97104,104090
23,1,1,0,1,7.3,17,3,131815,145843
24,1,1,0,1,6.9,23,3,134135,151837
25,1,1,0,1,7.4,8,3,92198,98155
26,1,1,0,1,6.9,19,3,99304,110321
27,1,1,0,0,8,15,2,82132,90058
28,1,1,0,1,7,16,3,108770,119697
29,1,1,0,1,6.9,15,3,109775,120208
30,1,1,0,0,7.7,7,1,66375,71139
31,1,0,0,0,7.2,2,1,57838,62907
32,1,0,0,1,8.7,12,2,90631,99079
33,1,0,0,1,7.9,7,1,60930,66190
34,1,0,0,0,8.1,14,2,87231,95385
35,1,0,0,0,7.4,8,2,68582,76987
36,1,0,0,0,7.3,7,1,63280,68420
37,1,0,0,0,7.9,16,3,106412,116959
38,1,0,0,1,7.2,3,1,65337,70166
39,1,0,1,1,6.4,16,3,143334,153524
40,1,0,0,0,8,12,3,90771,102927
41,1,0,0,0,8.1,8,2,81769,88896
42,1,0,0,1,7.5,11,1,94103,102983
43,1,0,0,1,7.6,10,1,102631,111125
44,1,0,1,1,6,15,1,109164,120696
45,1,0,0,0,7.1,9,1,63779,73033
46,1,0,0,0,8,6,1,75362,81615
47,1,0,1,1,4.6,13,2,124836,137791
48,1,0,0,0,7.7,13,1,77012,84536
49,1,0,0,1,7.3,6,1,67277,72721
50,1,0,0,1,8.1,9,1,73448,80294
51,2,1,1,1,5.1,10,1,97707,101617
52,2,1,1,1,5.1,9,3,106130,118258
53,2,1,0,1,6.8,8,3,81049,88505
54,2,1,1,1,5.5,25,3,140315,150710
55,2,1,0,1,7.1,11,3,84571,92879
56,2,1,0,1,6.6,9,2,58126,64522
57,2,1,1,1,6.1,27,3,133284,151373
58,2,1,0,1,7.5,32,2,142333,154372
59,2,1,0,0,8.3,23,3,71073,78715
60,2,1,0,0,7.5,14,2,76255,82466
61,2,1,0,1,7.8,11,3,105348,118635
62,2,1,0,0,7.5,9,3,86844,97061
63,2,1,0,0,7,5,2,52582,58923
64,2,1,0,1,7.5,12,3,110836,120397
65,2,1,1,1,5.7,18,3,144150,151887
66,2,1,1,1,6,19,3,122240,134882
67,2,1,0,0,7.1,10,3,68573,75286
68,2,1,0,0,7.9,8,2,63936,69526
69,2,1,1,1,5.9,4,1,71404,78589
70,2,1,0,1,7.6,14,3,102076,112009
71,2,0,1,1,5.3,10,2,94715,106608
72,2,0,0,1,8.1,4,1,58634,62601
73,2,0,0,1,7.9,14,3,119851,131050
74,2,0,1,0,5.5,9,3,78650,88661
75,2,0,0,0,6.9,8,2,57862,63728
76,2,0,1,0,4.9,3,1,67113,74272
77,2,0,1,0,5.3,12,3,81078,86221
78,2,0,0,1,8.5,7,1,60403,68828
79,2,0,0,1,7.6,12,2,90964,97303
80,2,0,0,1,8.4,4,1,52945,57841
81,2,0,0,0,7.4,5,1,56550,62323
82,2,0,0,0,7.2,2,1,34514,38675
83,2,0,0,0,8,8,2,56177,61652
84,2,0,1,0,5,2,1,50588,57431
85,2,0,0,1,7.7,5,1,60415,66323
86,2,0,1,0,6.1,11,3,91409,102511
87,2,0,0,1,7.8,3,1,56250,59530
88,2,0,1,1,5.7,16,2,127725,143348
89,2,0,1,0,5.4,5,1,63426,71068
90,2,0,0,0,8,5,1,45826,48138
91,3,1,0,1,6.7,24,3,154326,165884
92,3,1,0,0,5.9,11,2,87351,95429
93,3,1,1,1,4.1,5,1,123859,130292
94,3,1,1,0,4.8,16,3,118121,130697
95,3,1,1,1,4.3,11,3,174479,193342
96,3,1,1,1,4.3,16,3,196704,218955
97,3,1,1,1,4.3,16,3,186953,206984
98,3,1,1,0,4.2,9,2,107862,117240
99,3,1,1,0,3.9,5,1,105821,116932
100,3,1,1,1,5.6,6,1,114730,126118
101,3,0,1,0,3.9,9,3,142382,151698
102,3,0,0,0,7.3,9,1,67581,72896
103,3,0,0,0,6.8,6,1,67934,75659
104,3,0,1,0,5,10,3,118101,129862
105,3,0,1,1,5.2,9,2,127710,143799
106,3,0,0,0,6.5,5,1,70794,77113
107,3,0,1,0,5.7,4,1,81728,91764
108,3,0,0,0,7,7,1,71015,80747
109,3,0,0,1,7.3,11,2,117276,126139
110,3,0,0,0,7.2,10,2,106535,117574
111,3,0,0,0,8.4,5,1,68825,74209
112,4,1,1,1,3.1,6,1,109599,121829
113,4,1,0,1,5.2,17,3,154159,169191
114,4,1,1,1,3.3,10,2,145503,162253
115,4,1,1,1,3.2,15,2,161383,181196
116,4,1,0,1,4.8,10,3,113443,126189
117,4,1,1,1,2.1,5,1,118561,131704
118,4,1,1,1,2.9,8,2,147709,161814
119,4,1,1,1,3.1,7,2,121969,136415
120,4,1,0,0,5.2,11,2,101890,113893
121,4,1,1,1,4,7,1,114233,127955
122,4,0,1,1,4.2,4,1,77087,84890
123,4,0,0,1,5.5,6,1,113382,124153
124,4,0,1,1,2.7,4,1,102177,112844
125,4,0,1,1,3.1,2,2,116506,127815
126,4,0,1,1,3.1,5,1,130386,145073
127,4,0,1,1,3.6,16,3,159687,177706
128,4,0,1,1,3.4,2,1,107750,117214
129,4,0,0,1,5.3,4,1,91211,103513
130,4,0,1,1,3,6,2,135216,150489
131,4,0,1,1,3.2,10,2,164048,182049
132,4,0,1,1,3.8,5,1,84390,92512
133,4,0,1,1,3.1,14,3,170428,186726
134,4,0,1,1,2.6,5,1,124994,140026
135,4,0,0,1,5.7,13,1,90130,95908
136,4,0,0,1,6.3,5,1,102021,109758
137,4,0,1,0,4,4,2,88484,99505
138,4,0,1,1,3,7,1,110975,123139
139,4,0,0,1,5.5,3,1,81422,89202
140,4,0,1,1,3.1,10,1,130939,142566
141,4,0,1,1,3.7,1,1,111630,125268
142,5,1,1,1,3.7,11,1,182945,198762
143,5,1,1,0,3.2,13,2,163671,181774
144,5,1,1,1,4.3,9,2,204433,226581
145,5,1,1,1,3.2,4,1,135139,148117
146,5,1,0,1,5.6,11,3,147213,155826
147,5,1,1,1,4,13,2,207737,229706
148,5,1,1,1,3.1,18,3,244025,268210
149,5,1,0,1,5.2,12,3,167199,182401
150,5,1,1,1,4,14,3,209377,225498
151,5,1,1,1,3.7,10,2,209189,230270
152,5,1,1,1,3.2,11,2,186973,204769
153,5,1,1,1,3.1,10,3,209171,229301
154,5,1,1,1,4.5,15,3,230268,253090
155,5,1,1,1,4.4,8,2,186022,207634
156,5,1,1,1,4.2,7,1,179897,196338
157,5,1,1,1,3.6,12,2,236470,265121
158,5,1,0,0,5.7,15,3,172793,184391
159,5,1,1,1,3.7,13,3,285301,297397
160,5,1,1,1,3.6,8,3,200543,219584
161,5,1,1,1,4.8,6,1,152485,168170
162,5,1,1,1,4,5,1,154644,170967
163,5,1,1,1,3.1,22,3,255654,285939
164,5,1,1,1,3.5,2,1,138896,152284
165,5,1,1,1,3.1,18,3,260631,284841
166,5,1,1,1,3,4,1,183972,201691
167,5,1,1,1,3,5,1,128027,142963
168,5,1,1,1,4,6,1,161815,173837
169,5,1,0,1,5.9,6,1,149011,163795
170,5,1,1,1,3.3,8,2,167305,183834
171,5,1,1,1,2.7,5,1,153549,168707
172,5,1,1,1,3.4,37,3,300975,332119
173,5,1,1,0,2.4,3,1,124442,131361
174,5,1,1,1,3.8,14,2,163486,175271
175,5,1,1,1,3.2,7,1,155006,169118
176,5,1,0,0,5.1,8,3,129499,141661
177,5,1,1,1,3.5,14,2,216391,234992
178,5,1,1,0,2.9,8,2,171016,189308
179,5,1,1,1,3.5,25,3,246763,279255
180,5,1,1,1,3.4,5,1,175396,189904
181,5,1,0,1,5.1,8,2,144542,158513
182,5,1,0,1,4.7,21,3,275377,294336
183,5,1,1,1,4,18,3,262090,289778
184,5,1,0,0,5.1,2,1,250000,276163
185,5,1,0,1,4.6,10,2,158243,177587
186,5,1,1,0,3.6,26,3,218341,245432
187,5,1,1,0,3.3,5,1,141044,157509
188,5,1,1,0,3.9,10,2,164174,183538
189,5,1,1,1,3.3,16,3,203152,216873
190,5,1,1,1,3.6,8,1,194784,217478
191,5,1,1,1,3,15,3,223040,239253
192,5,0,1,0,4.2,3,1,138635,149539
193,5,0,1,1,4.1,5,1,176028,192799
194,5,0,1,1,3.9,2,1,126343,136988
195,5,0,1,1,3.6,14,3,249687,267554
196,5,0,1,1,3.8,5,1,127525,139017
197,5,0,1,1,3.1,13,3,281058,313400
198,5,0,1,1,3.6,4,1,149631,165420
199,5,0,1,1,3.8,4,1,142249,154386
200,5,0,1,1,4.7,7,1,166863,189852
201,5,0,1,1,2.9,7,1,164080,180937
202,5,0,1,0,2.9,1,1,112221,126149
203,5,0,1,0,3.8,5,1,161352,177997
204,5,0,1,1,2.8,7,1,209818,233774
205,5,0,0,1,5.1,6,1,133097,147327
206,5,0,1,1,3.7,5,1,171391,185895
207,5,0,1,1,3.7,6,1,166482,180608
208,5,0,1,1,4,12,1,242614,265856
209,5,0,1,1,3.8,6,1,146396,161031
210,5,0,1,1,3.8,6,1,130153,139887
211,5,0,1,1,3.7,8,2,175791,195678
212,5,0,1,0,3.4,3,1,138775,152231
213,5,0,1,1,4.3,6,1,167844,189487
214,5,0,1,1,3.9,10,2,202231,225599
215,5,0,1,0,3.9,2,1,106802,114961
216,5,0,0,1,5.8,23,3,204279,227790
217,5,0,1,1,4.5,8,3,185413,207462
218,5,0,0,1,4.6,9,2,150258,160253
219,5,0,1,1,4,5,1,128433,145718
220,5,0,0,1,5.4,14,1,123940,138566
221,5,0,0,1,5.4,3,1,107524,116283
222,6,1,1,1,2.7,6,1,214219,236305
223,6,1,1,1,2.1,5,1,312966,336960
224,6,1,1,1,1.9,21,2,342834,367284
225,6,1,1,1,2.1,16,3,312892,344801
226,6,1,1,1,2.5,13,3,317399,345204
227,6,1,1,1,2.4,21,3,342662,369712
228,6,1,1,1,2.5,5,2,247953,273737
229,6,1,1,1,3.2,11,3,339533,387205
230,6,1,1,1,2.4,22,3,393408,435572
231,6,1,1,1,2.5,5,1,206097,220899
232,6,1,1,1,2.4,27,3,419129,472589
233,6,1,1,1,1.9,5,1,250667,270417
234,6,1,1,1,2.9,6,1,212780,237094
235,6,1,1,1,2.7,7,1,232735,261236
236,6,1,0,1,4.4,11,2,244940,269554
237,6,1,1,1,2.2,13,2,287433,314926
238,6,1,1,1,2.8,7,1,279661,317179
239,6,1,1,1,2.7,12,3,428876,462342
240,6,1,1,1,2.4,10,2,326460,364139
241,6,1,1,1,3.2,10,3,366150,408898
242,6,1,1,1,2.3,8,3,299582,339637
243,6,1,1,1,2.1,5,2,259576,280168
244,6,1,1,1,1.9,12,1,316754,349294
245,6,1,1,1,2.5,7,1,220374,239614
246,6,1,1,1,1.3,7,1,262328,295619
247,6,1,1,1,2.5,14,1,337885,376651
248,6,1,1,1,2.9,14,2,355982,389994
249,6,1,1,0,3.1,16,2,298359,320315
250,6,1,1,1,3,6,1,247576,271773
251,6,1,1,1,3.3,15,1,251079,275246
252,6,1,1,0,2.4,2,1,154310,171664
253,6,1,1,1,3.2,25,3,411219,455468
254,6,1,1,1,3,15,1,266880,297902
255,6,1,1,1,2.9,5,1,223736,248014
256,6,1,1,1,2.7,10,3,322698,356961
257,6,0,1,1,2.9,8,2,297174,323699
258,6,0,1,1,2.6,9,3,308081,339664
259,6,0,1,1,2.8,8,1,211269,241577
260,6,0,1,1,2.4,2,1,210801,233905
261,6,0,1,1,3.2,5,1,244551,265502
